
2025-07-21 19:55:49,257 - ERROR - Podcast: Error procesando episodio #432: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,381 - ERROR - Podcast: Error procesando episodio #431: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,509 - ERROR - Podcast: Error procesando episodio #430: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,626 - ERROR - Podcast: Error procesando episodio #429: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,755 - ERROR - Podcast: Error procesando episodio #428: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,884 - ERROR - Podcast: Error procesando episodio #427: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,007 - ERROR - Podcast: Error procesando episodio #426: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,127 - ERROR - Podcast: Error procesando episodio #425: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,245 - ERROR - Podcast: Error procesando episodio #424: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,365 - ERROR - Podcast: Error procesando episodio #423: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,497 - ERROR - Podcast: Error procesando episodio #422: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,615 - ERROR - Podcast: Error procesando episodio #421: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,743 - ERROR - Podcast: Error procesando episodio #420: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,866 - ERROR - Podcast: Error procesando episodio #419: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:50,984 - ERROR - Podcast: Error procesando episodio #418: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,111 - ERROR - Podcast: Error procesando episodio #417: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,224 - ERROR - Podcast: Error procesando episodio #416: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,337 - ERROR - Podcast: Error procesando episodio #415: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,455 - ERROR - Podcast: Error procesando episodio #414: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,599 - ERROR - Podcast: Error procesando episodio #413: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,721 - ERROR - Podcast: Error procesando episodio #412: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
